Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD,ESN,L_E_S
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20681%20listed%20in%20myairlease.com",+971 4 2500373,ATR 72-500,2001,0681,34228/28146,PW127F,0/0/64,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20637%20listed%20in%20myairlease.com",+971 4 2500373,ATR 42-500,2005,0637,19735/18801,PW127F,0/0/48,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%204486%20listed%20in%20myairlease.com",+971 4 2500373,DHC8-402,2014,4486,OR,PW150A,OR,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20432%20listed%20in%20myairlease.com",+971 4 2500373,DHC8-202,1996,0432,31660/39424,PW123,0/0/37,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20280%20listed%20in%20myairlease.com",+971 4 2500373,DHC8-102,1992,280,38526/41990,PW123,0/0/37,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20185%20listed%20in%20myairlease.com",+971 4 2500373,DHC8-102,1989,185,42844/42553,PW120A,0/0/42,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20UE-136%20listed%20in%20myairlease.com",+971 4 2500373,Beechcraft 1900D,1995,UE-136,11887/9557,PT6A-67D,0/0/19,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20UC-114%20listed%20in%20myairlease.com",+971 4 2500373,Beechcraft 1900C,1990,UC-114,27894/28800,PT6A-65B,0/0/19,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Aerovista, http://www.myairlease.com/available/aerovista","Mr. Z. Siddiq, mailto:zulqarnain.siddiq@aerovista.aero?Subject=Query%20for%20MSN%20FL-614%20listed%20in%20myairlease.com",+971 50 991 9393,Super King Air 350,2008,FL-614,OR,PT6A-60A,0/0/9,S,1604,IMM,,
"Aircraft, (Turboprops only)",,"Airflite, http://www.myairlease.com/available/airflite","Mr. J. Roberts, mailto:airflite.uk@gmail.com?Subject=Query%20for%20MSN%208037%20listed%20in%20myairlease.com",+44 7739 199700,Dornier 228-201,1984,8037,25423/26534,TPE331-5-252D,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20194%20listed%20in%20myairlease.com",+44 1483 235737,ATR 42-320,1990,0194,OR,PW121,0/0/46,S,1605,IMM,,
