Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"Aero-Sky, http://www.myairlease.com/available/aero_sky","Mr. H. Kornberg, mailto:hkornberg@aero-sky.com?Subject=Query%20for%20MSN%20756%20listed%20in%20myairlease.com",+41 79 471 89 11,A300-600RF,1995,756,34560/OR,PW4158,Freighter,S,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"AerSale, http://www.myairlease.com/available/aersale","Mr. C. Wright, mailto:Craig.Wright@aersale.com?Subject=Query%20for%20MSN%20787%20listed%20in%20myairlease.com",+1 305 764 3238,A300-600,1998,787,OR,CF6-80C2A5,OR,OL/S,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"Jetcraft Commercial, http://www.myairlease.com/available/jetcraft","Mr. N. Mossa, mailto:nick.mossa@jetcraft.com?Subject=Query%20for%20MSN%20643%20listed%20in%20myairlease.com",+1 919 941 8400,A300-605RF,1992,643,45706/17590,CF6-80C2A5,Freighter,S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"Jetcraft Commercial, http://www.myairlease.com/available/jetcraft","Mr. N. Mossa, mailto:nick.mossa@jetcraft.com?Subject=Query%20for%20MSN%20626%20listed%20in%20myairlease.com",+1 919 941 8400,A300-605RF,1992,626,48274/18600,CF6-80C2A5,Freighter,S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"MNG Jet, http://www.myairlease.com/available/mng_jet","Mr. U. Kalkan, mailto:ugur.kalkan@mngjet.com?Subject=Query%20for%20MSN%20212%20listed%20in%20myairlease.com",+90 212 999 3000,A300C4-203,1982,212,47126/24305,CF6-50C2,Freighter,S,1602,IMM
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"Royal Jordanian, http://www.myairlease.com/available/royal_jordanian","Mr. A. Qaryouti, mailto:abdalla.alqaruti@rj.com?Subject=Query%20for%20MSN%20490%20listed%20in%20myairlease.com",...,A310-304F,1989,490,74520/24122,CF6-80C2A2,Freighter,S,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A300/A310,"White Airways, http://www.myairlease.com/available/mng_jet","Sales Dpt., mailto:sales@flywhite.com?Subject=Query%20for%20MSN%20494%20listed%20in%20myairlease.com",+351 219 457 560,A310-304,1989,494,OR,CF6-80C2A2,0/12/225,OL/A,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%203406%20listed%20in%20myairlease.com",+971 4 2500373,A319-112,2008,3406,22500/12361,CFM56-5B,0/0/135,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%202933%20listed%20in%20myairlease.com",+971 4 2500373,A321-232,2006,2933,OR,V2530-A5,0/0/220,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%2081%20listed%20in%20myairlease.com",+971 4 2500373,A320-231,1989,0081,OR,V2500-A1,0/0/174,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerovista, http://www.myairlease.com/available/aerovista","Mr. Z. Siddiq, mailto:zulqarnain.siddiq@aerovista.aero?Subject=Query%20for%20MSN%20879%20listed%20in%20myairlease.com",+971 50 991 9393,A320-232,1998,0879,43312/22209,CFM56-5B4/P,0/0/174,OL/A,1604,1610
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Air VIA, http://www.myairlease.com/available/air_via","Mr. M. Poranske, mailto:mp@air-via.com?Subject=Query%20for%20MSN%201060%20listed%20in%20myairlease.com",+359 876 441499,A321-231,1999,1060,OR,V2533-A5,0/0/220,A,1605,1610
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Balkan Air, http://www.myairlease.com/available/balkan_air","Mr. M. Poranske, mailto:sales@airbg.eu?Subject=Query%20for%20MSN%203028%20listed%20in%20myairlease.com",+359 876 441499,A319-111,2007,3028,18100/8332,CFM56-5B5,0/8/126,A,1605,1610
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Balkan Air, http://www.myairlease.com/available/balkan_air","Mr. M. Poranske, mailto:sales@airbg.eu?Subject=Query%20for%20MSN%202596%20listed%20in%20myairlease.com",+359 876 441499,A320-214,2005,2596,OR,CFM56-5B4,0/0/180,A,1605,1610
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Balkan Air, http://www.myairlease.com/available/balkan_air","Mr. M. Poranske, mailto:sales@airbg.eu?Subject=Query%20for%20MSN%202540%20listed%20in%20myairlease.com",+359 876 441499,A320-214,2005,2540,OR,CFM56-5B4,0/0/180,A,1605,1610
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%202176%20listed%20in%20myairlease.com",+1 415 486 6100,A319-111,2006,2176,33845/23006,CFM56-5B5/P,0/0/156,OL/S,1605,1611
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%201916%20listed%20in%20myairlease.com",+1 415 486 6100,A319-100,2003,1916,32683/22125,CFM56-5B6/2P,0/0/138,OL,1605,1702
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%201362%20listed%20in%20myairlease.com",+1 415 486 6100,A319-111,2000,1362,34808/23262,CFM56-5B5/P,0/0/141,OL,1605,1611
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%20733%20listed%20in%20myairlease.com",+1 415 486 6100,A320-200,1997,0733,49476/22037,V2527-A5,0/0/180,OL,1605,1609
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%201345%20listed%20in%20myairlease.com",+65 6499 5913,A320-200,2000,1345,OR,CFM56-5B/P,OR,OL,1605,1612
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%201316%20listed%20in%20myairlease.com",+65 6499 5913,A320-200,2000,1316,OR,CFM56-5B/P,OR,OL,1605,1611
"Aircraft, (Jets and Turboprops)",Airbus A330,"Avianca, http://www.myairlease.com/available/avianca","Mr. J. Roncallo de la Vega, mailto:juan.roncallo@avianca.com?Subject=Query%20for%20MSN%201009%20listed%20in%20myairlease.com",+57 1 587 700 x1446,A330-243,2009,1009,OR,Trent 700,0/30/222,OL/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20392%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,2001,0392,OR,Trent 772B-60,OR,OL,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"DVB Bank, http://www.myairlease.com/available/dvb","Mrs. E. Lawson, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%20743%20listed%20in%20myairlease.com",+44 207 256 4452,A320-223,1997,0743,OR,V2527-A5,OR,OL,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Global Express Aviation, http://www.myairlease.com/available/global_express_aviation","Mr. B. Oralerkaya, mailto:commercial@geavia.com?Subject=Query%20for%20MSN%20368%20listed%20in%20myairlease.com",+90 530 510 3810,A320-231,1994,0368,OR,V2500-A1,0/0/180,OL/A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Global Express Aviation, http://www.myairlease.com/available/global_express_aviation","Mr. B. Oralerkaya, mailto:commercial@geavia.com?Subject=Query%20for%20MSN%20316%20listed%20in%20myairlease.com",+90 530 510 3810,A320-200,1991,0316,59275/23591,V2500-A1,0/8/144,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20328%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,2000,0328,OR,Trent 772B-60,OR,OL,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20326%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,2000,0326,OR,Trent 772B-60,OR,OL,1604,IMM
