Company,Model,MSN,YoM,Reg,Comments
Airbus A320 family,A321-211,6817,2015,EI-SVX,"Stored, last operated by Transaero"
Airbus A320 family,A321-211,6726,2015,EI-LED,"Stored, last operated by Transaero"
Airbus A320 family,A321-211,6678,2015,EI-VKO,"Stored, last operated by Transaero"
Airbus A320 family,A321-214,5679,2013,B-9982,"Flying with China West Air, marketed online by Seefin Aviation ,since 26APR16, as available for Sale"
Airbus A320 family,A320-200,5209,2012,PR-MYU,"Stored, last operated by TAM"
Airbus A320 family,A320-214,4699,2011,OE-IDJ,"Stored, last operated by Travel Service"
Airbus A320 family,A319-112,4268,2010,F-HCZI,"Flying with Aigle Azur, marketed online by Avinco as available for lease or sale"
Airbus A320 family,A321-211,3830,2009,G-POWN,"Flying with Jet2, wet lease contract from Titan Airways until SEP-OCT16"
Airbus A320 family,A320-216,3173,2007,9M-AFV,"Flying with AirAsia, marketed online by Seefin Aviation ,since 26APR16, as available for Sale"
Airbus A320 family,A321-232,2927,2006,N927AG,"Stored, last operated by Nordwind Airlines, registered under trustee on 10MAR16"
Airbus A320 family,A320-216,2816,2006,9M-AFG,"Flying with AirAsia, marketed online by Seefin Aviation ,since 26APR16, as available for Sale"
Airbus A320 family,A320-216,2612,2005,9M-AFA,"Flying with AirAsia, marketed online by Seefin Aviation ,since 26APR16, as available for Sale"
Airbus A320 family,A320-232,2422,2005,N676AW,"Stored, last operated by American Airlines"
Airbus A320 family,A321-231,2211,2004,YL-LCQ,"Flying with Thomas Coook, wet lease contract from SmartLynx until SEP-OCT16"
Airbus A320 family,A319-111,2103,2004,N925FR,"Stored, last operated by Frontier"
Airbus A320 family,A319-132,1893,2002,4R-MRF,"Flying with Mihin Lanka, marketed by Airbus as available for Sale or long term lease in MAR17"
Airbus A320 family,A321-231,1843,2002,N843AG,"Stored, last operated by Nordwind Airlines, N-reg under trustee on 08MAR16"
Airbus A320 family,A320-232,1823,2002,YL-LCP,"Flying with Monarch, wet lease contract from SmartLynx MAY-OCT16"
Airbus A320 family,A319-111,1753,2002,9H-MCS,"Stored, last operated by Rossiya"
Airbus A320 family,A319-112,1706,2002,N176AG,"Stored by ,ACG,, last operated by Hunnu Air, registered under a trustee on 25NOV14"
Airbus A320 family,A319-111,1654,2002,EI-ETN,"Stored, last operated by Rossiya"
Airbus A320 family,A319-111,1679,2002,EI-ETO,"Stored, last operated by Rossiya"
Airbus A320 family,A319-132,1139,1999,PT-MZF,"Stored, last operated by TAM"
Airbus A320 family,A320-214,0992,1999,N316AT,"Stored, last operated by Vueling, N-reg (Aeroturbine) on 09NOV15"
Airbus A320 family,A321-131,0963,1999,TC-OBF,"Flying with Onur Air, marketed online by Private Air ,since 13MAY16, as available for ACMI"
Airbus A320 family,A320-232,0928,11998,OE-IDY,"Stored, last operated by Air Macau"
Airbus A320 family,A321-212,0891,1998,F-GYAR,"Stored, last operated by Air Mediterranee"
Airbus A320 family,A320-231,0876,1998,B-2376,"Stored, last operated by Air China"
Airbus A320 family,A321-212,0827,1998,F-GYAQ,"Stored, last operated by Air Mediterranee"
Airbus A320 family,A320-232,0770,1998,N648AW,"Stored, last operated by US Airways, registered under trustee on 10MAR15"
Airbus A320 family,A320-214,0749,1997,N296AT,"Stored by Aeroturbine, last operated by Meridiana, registered under trustee on 27MAR15"
Airbus A320 family,A320-214,0737,1997,N288AT,"Stored by Aeroturbine, last operated by Meridiana, registered under trustee on 27MAR15"
Airbus A320 family,A319-112,0727,1997,HB-IPT,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
Airbus A320 family,A319-112,0713,1997,HB-IPU,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
Airbus A320 family,A320-211,0685,1997,JA8947,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-211,0669,1997,JA8946,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-211,0658,1997,JA8997,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A321-131,0631,1996,N39KC,"Stored, last operated by Air Macau"
Airbus A320 family,A319-112,0621,1996,HB-IPY,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
Airbus A320 family,A319-112,0612,1996,HB-IPX,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
Airbus A320 family,A319-112,0578,1996,HB-IPV,"Flying with Swiss, will be replaced by CS100/300 fleet (first delivery planned for mid-2016"
Airbus A320 family,A320-233,0561,1995,HI-968,"Flying with Dominican Wings, wet lease contract from Avion Express until?"
Airbus A330,A330-243,1508,2014,N508AV,"Stored, last operated by Avianca"
